model_name,feature_set,seq_len,trial,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
deepr,dx,8,1,0.377490841574767,0.44044444444444447,0.29164761904761904,0.24051326451326452,0.22750144379757384,0.22455367794024278,0.22406549676424545
bitenet,dxtx,8,2,0.36924542830002216,0.3138444444444445,0.2013962962962963,0.1619211714211714,0.15191429147621097,0.14985343194926448,0.14961829424746012
bitenet,dx,8,2,0.3468843284831754,0.32004444444444446,0.21052857142857143,0.16753913863913864,0.15649263594449353,0.15420742357232464,0.15391500191990296
rnn,dxtx,8,2,0.35173793391969616,0.29775555555555555,0.1765994708994709,0.14401492211492212,0.13623600914622586,0.1347395288149629,0.13459373584250328
rnn,dx,8,2,0.3609346472817941,0.2976666666666667,0.1816814814814815,0.14595118955118955,0.1372079949634129,0.1355916376009686,0.1354261675154985
brnn,dxtx,8,2,0.3505118308466234,0.2902666666666667,0.1812899470899471,0.14615572575572575,0.13762771291316184,0.13594824745108766,0.13575998534282557
brnn,dx,8,2,0.3555538570230212,0.2968222222222222,0.179115873015873,0.144098334998335,0.1356222657402224,0.1339817299475127,0.13381200535112142
retain,dxtx,8,2,0.3660615095590487,0.38564444444444446,0.2532693121693122,0.2071345802345802,0.19479876438777363,0.1921321353646229,0.1917565988024197
retain,dx,8,2,0.31285145160656896,0.39077777777777783,0.2557693121693122,0.20923351463351464,0.19709683797454694,0.19475729356209368,0.1944359780225325
deepr,dxtx,8,2,0.3358356493129633,0.42875555555555556,0.2820587301587301,0.231316095016095,0.2185417783798589,0.21598495588884878,0.21575503636068355
deepr,dx,8,2,0.3447173742646339,0.41322222222222227,0.2661470899470899,0.21915820475820477,0.20641453922181477,0.20372252592110582,0.20331371300562623
bitenet,dxtx,8,3,0.32442628476317203,0.348,0.2245169312169312,0.18254592444592443,0.17305359558455533,0.17093368843856122,0.17050458014370581
bitenet,dx,8,3,0.3729505116170877,0.3530666666666667,0.22084867724867727,0.179804255004255,0.17033375276827287,0.16818062145514157,0.1677306964461361
rnn,dxtx,8,3,0.344856173458667,0.29760000000000003,0.1799275132275132,0.14595917045917045,0.13818579011287987,0.13665377681217095,0.13633170195216507
rnn,dx,8,3,0.36706149284533435,0.31695555555555555,0.19569312169312172,0.15947234247234246,0.15126011337017528,0.1495720940465038,0.14919055820473806
brnn,dxtx,8,3,0.34540714992088684,0.29217777777777776,0.180605291005291,0.14589522329522328,0.13800903478473137,0.13624253876867015,0.13584421280344763
brnn,dx,8,3,0.3732039851650481,0.2706,0.1599089947089947,0.12943691123691126,0.12270486215997051,0.12131513758502854,0.12103369540013809
retain,dxtx,8,3,0.30562722748267307,0.39615555555555554,0.25587195767195764,0.21074016724016723,0.19980440872623534,0.19738724328298296,0.19689999175205325
retain,dx,8,3,0.3113401116640704,0.3962444444444445,0.25397883597883597,0.20864103304103307,0.19731734309721924,0.19478326818662256,0.19434305791133458
deepr,dxtx,8,3,0.3588454327004427,0.43704444444444446,0.2829740740740741,0.23380931290931292,0.2220294977296525,0.21952438699497656,0.21899862742461929
deepr,dx,8,3,0.34851765132655244,0.41924444444444436,0.2748507936507936,0.22681348281348282,0.21453397358288998,0.2118354564421734,0.21123366058796372
bitenet,dxtx,8,4,0.35239718073695897,0.3608222222222222,0.22530000000000003,0.17890111000110998,0.16709188514157552,0.16447348373621762,0.16396765708096567
bitenet,dx,8,4,0.3249053436631207,0.3694444444444445,0.23154497354497353,0.1853787175787176,0.17380970599747692,0.17123857731939168,0.17072841063635147
rnn,dxtx,8,4,0.34341400290270574,0.2850666666666667,0.1745714285714286,0.13886429126429126,0.1299877289434565,0.12815775341174182,0.1278217933819887
rnn,dx,8,4,0.3339053516572749,0.32155555555555554,0.194010582010582,0.15618671698671696,0.14700470230950108,0.14515671811977776,0.14481090418913622
brnn,dxtx,8,4,0.3568260111213126,0.33226666666666665,0.2005825396825397,0.1618002553002553,0.15252448990637846,0.15068625162292276,0.1503909622549897
brnn,dx,8,4,0.3388957664116743,0.31344444444444447,0.18394444444444447,0.14798948828948827,0.1393996591414548,0.13773778198479503,0.13738977792414728
retain,dxtx,8,4,0.33248325781219235,0.4140222222222223,0.26907830687830686,0.21760308210308207,0.20405527221889452,0.20119357073197564,0.20064269446477753
retain,dx,8,4,0.3377340821699134,0.41411111111111115,0.2725396825396825,0.22015382395382396,0.2064120913543514,0.2032531114936324,0.2025610932862119
deepr,dxtx,8,4,0.3194586198168383,0.44373333333333337,0.2905328042328042,0.2375144448144448,0.22376513854222832,0.22059488570327984,0.22012830447642814
deepr,dx,8,4,0.3350706910167062,0.44937777777777776,0.2990079365079365,0.24254866244866244,0.22785189602279385,0.22459678215115825,0.22398725628324154
bitenet,dxtx,8,5,0.36864586334915755,0.31875555555555557,0.20537142857142854,0.1650283494283494,0.15455809945701587,0.15233938937482752,0.15172920781522067
bitenet,dx,8,5,0.3720514432070302,0.3137111111111111,0.19882910052910052,0.16068178118178117,0.1509221607254115,0.14885482274937786,0.1482806656846461
rnn,dxtx,8,5,0.39349148270952394,0.3163777777777778,0.18960105820105816,0.15460543160543158,0.1456605972974394,0.14369750425521594,0.14319697627744657
rnn,dx,8,5,0.36393742790814854,0.32053333333333334,0.1962042328042328,0.1594011026011026,0.1503791899764036,0.1484003920593448,0.14790124563743975
brnn,dxtx,8,5,0.3476560336399472,0.30893333333333334,0.19034232804232806,0.15365317275317275,0.1442810250636876,0.1423846538986208,0.1418415233637661
brnn,dx,8,5,0.36122217285803354,0.30693333333333334,0.18446666666666667,0.14796989676989677,0.13892981535721474,0.13694268191095085,0.13643761629967835
retain,dxtx,8,5,0.3415536447407027,0.4057111111111111,0.2691153439153439,0.2198784696784697,0.20686629217588973,0.20376407497280294,0.2028875648843388
retain,dx,8,5,0.3870272970815285,0.4105777777777779,0.27166613756613756,0.22313930883930883,0.20999210095030527,0.20716913087690045,0.20645308841786944
deepr,dxtx,8,5,0.3640699844817882,0.43571111111111105,0.28373439153439156,0.23253204573204572,0.21926149107743534,0.21641595622581353,0.2157220437355792
deepr,dx,8,5,0.3632413245715985,0.4205777777777778,0.2771243386243386,0.22679354349354353,0.21298007272511915,0.20993019632132973,0.2090960726587003
bitenet,dxtx,8,6,0.38676395933709173,0.31771111111111117,0.19404708994708994,0.15624302734302734,0.14716379331023294,0.14521387549857598,0.14500545592325986
bitenet,dx,8,6,0.3326346289530691,0.3466666666666667,0.22022962962962964,0.17784354904354904,0.16748698442939927,0.1651739785946543,0.16481527089111903
